target_formula,precursor_formulas
Sn2WO5,"[['WO3', 'SnO']]"
Sn3(PO4)2,"[['SnO2', '(NH4)2HPO4']]"
Sn3WO6,"[['WO3', 'SnO']]"
Sn4P3,"[['P', 'Sn']]"
SnB0.6P0.4O2.9,"[['SnO', 'H2NH4PO4', 'B2O3']]"
SnFe2O4,"[['SnO', 'Fe2O3']]"
SnMo6S8,"[['SnS', 'Mo', 'MoS2']]"
SnMoO4,"[['SnO', 'MoO3'], ['SnO', 'MoO3']]"
SnNb2O6,"[['Nb2O5', 'SnO']]"
SnP2O7,"[['SnO', 'NH4H2PO4'], ['SnO', 'NH4H2PO4']]"
SnPbO3,"[['SnO2', 'PbO']]"
SnS,"[['S', 'Sn'], ['S', 'Sn']]"
SnSb,"[['Sb', 'Sn']]"
SnTe3O8,"[['TeO2', 'SnO2']]"
SnWO4,"[['WO3', 'SnO'], ['WO3', 'SnO'], ['WO3', 'SnO']]"
Sr(Bi0.5Ta0.5)O3,"[['SrCO3', 'Ta2O5', 'Bi2O3']]"
Sr(Bi2Ta2)0.95Ti0.2O9,"[['SrCO3', 'Ta2O5', 'TiO2', 'Bi2O3']]"
Sr(Co0.8Fe0.1Nb0.1)O3,"[['SrCO3', 'Nb2O5', 'Co3O4', 'Fe2O3']]"
Sr(In0.03Ti0.94V0.03)O3,"[['SrCO3', 'V2O5', 'In2O3', 'TiO2']]"
Sr(PO3)2,"[['SrCO3', '(NH4)2HPO4']]"
Sr(Sm0.5Nb0.5)O3,"[['SrCO3', 'Nb2O5', 'Sm2O3']]"
Sr(Ti0.5Zr0.5)O3,"[['SrCO3', 'TiO2', 'ZrO2']]"
Sr(Ti0.95Zr0.05)O3,"[['SrCO3', 'TiO2', 'ZrO2']]"
Sr(V0.005Ti0.99In0.005)O3,"[['SrCO3', 'V2O5', 'In2O3', 'TiO2']]"
Sr(VO)2(PO4)2,"[['SrCO3', '(NH4)2HPO4', 'VO2']]"
Sr(VO3)2,"[['SrCO3', 'V2O5'], ['SrCO3', 'V2O5']]"
Sr(Y0.05Yb0.05Zr0.9)O2.95,"[['SrCO3', 'Y2O3', 'ZrO2', 'Yb2O3']]"
Sr0.02La0.98Nb0.85V0.15O4,"[['Nb2O5', 'V2O5', 'La2O3', 'SrO2']]"
Sr0.02La0.99NbO4,"[['Nb2O5', 'La2O3', 'SrO2']]"
Sr0.3Ba0.7Nb2O6,"[['BaCO3', 'SrCO3', 'Nb2O5']]"
Sr0.4Ba0.6Nb2O6,"[['SrCO3', 'Nb2O5', 'BaCO3'], ['SrCO3', 'BaCO3', 'Nb2O5'], ['SrCO3', 'BaCO3', 'Nb2O5'], ['SrCO3', 'BaCO3', 'Nb2O5'], ['SrCO3', 'BaCO3', 'Nb2O5']]"
Sr0.4Ba1.6FeMoO6,"[['SrCO3', 'Fe2O3', 'BaCO3', 'MoO3']]"
Sr0.4Pb0.6TiO3,"[['PbO', 'SrTiO3', 'TiO2']]"
Sr0.50Ca0.15La0.35Ti0.65Co0.35O3,"[['Co2(C2O4)3', 'La2(C2O4)3', 'CaCO3', 'TiO2', 'SrCO3']]"
Sr0.50Ca0.20La0.30Fe11.15Co0.25O19,"[['SrCO3', 'La2O3', 'CaCO3', 'Fe2O3', 'Co2O3']]"
Sr0.50SbFe(PO4)3,"[['SrCO3', 'NH4H2PO4', 'Sb2O3', 'Fe2O3']]"
Sr0.53Ba0.47Nb2O6,"[['SrCO3', 'BaCO3', 'Nb2O5']]"
Sr0.55Na0.45SiO2.775,"[['SrCO3', 'SiO2', 'Na2CO3']]"
Sr0.5Ba0.5Nb2O6,"[['SrCO3', 'BaCO3', 'Nb2O5'], ['SrCO3', 'Nb2O5', 'BaCO3'], ['SrCO3', 'Nb2O5', 'BaCO3'], ['SrCO3', 'Nb2O5', 'BaCO3'], ['SrCO3', 'Nb2O5', 'BaCO3'], ['SrCO3', 'Nb2O5', 'BaCO3'], ['SrCO3', 'Nb2O5', 'BaCO3']]"
Sr0.5Ba1.5CoMoO6,"[['SrCO3', 'BaCO3', 'MoO3', 'Co3O4']]"
Sr0.5Bi3V2O10,"[['SrCO3', 'V2O5', 'Bi2O3']]"
Sr0.5Ca0.5VO,"[['V2O5', 'CaCO3', 'SrCO3']]"
Sr0.5Ca1.5SiO4,"[['SrCO3', 'SiO2', 'CaCO3']]"
Sr0.5Mg1.5SiO4,"[['SrCO3', 'MgO', 'SiO2']]"
Sr0.5Pb0.5TiO3,"[['TiO2', 'PbO', 'SrTiO3'], ['TiO2', 'PbO', 'SrTiO3']]"
Sr0.5TaO3,"[['SrCO3', 'Ta2O5']]"
Sr0.6(BiNa)0.2Bi2Nb2O9,"[['SrCO3', 'Nb2O5', 'Bi2O3', 'Na2CO3']]"
Sr0.63Ba0.37Nb2O6,"[['SrCO3', 'BaCO3', 'Nb2O5']]"
Sr0.6Ba0.4Nb2O6,"[['SrCO3', 'BaCO3', 'Nb2O5'], ['Ba(NO3)2', 'Nb2O5', 'SrCO3'], ['SrCO3', 'BaCO3', 'Nb2O5'], ['SrCO3', 'BaCO3', 'Nb2O5']]"
Sr0.6La0.4TiO3,"[['SrCO3', 'TiO2', 'La2O3']]"
Sr0.70Ca0.30TiO3,"[['SrCO3', 'CaCO3', 'TiO2']]"
Sr0.75Bi2.25Ta2O9,"[['SrCO3', 'Ta2O5', 'Bi2O3'], ['SrCO3', 'Ta2O5', 'Bi2O3']]"
Sr0.78Y0.22Co0.88Fe0.12O3,"[['SrCO3', 'Y2O3', 'CoO', 'Fe2O3']]"
Sr0.78Y0.22CoO3,"[['SrCO3', 'Y2O3', 'CoO']]"
Sr0.7Ba0.3Nb2O6,"[['Nb2O5', 'BaCO3', 'SrCO3']]"
Sr0.7Ce0.3MnO3,"[['SrCO3', 'Mn3O4', 'CeO2']]"
Sr0.7Ho0.3CoO3,"[['SrCO3', 'Co3O4', 'Ho2O3']]"
Sr0.7La0.3FeO3,"[['SrCO3', 'La2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3']]"
Sr0.7Y0.3CoO2.62,"[['SrCO3', 'Y2O3', 'Co3O4']]"
Sr0.85Ce0.15Fe0.5Co0.5O3,"[['SrCO3', 'CeO2', 'Co3O4', 'Fe2O3'], ['SrCO3', 'CeO2', 'Co3O4', 'Fe2O3']]"
Sr0.88Y0.08TiO3,"[['TiO2', 'Y(NO3)3', 'Sr(NO3)2'], ['SrCO3', 'TiO2', 'Y2O3']]"
Sr0.8Bi2.2(V0.2Nb0.8)2O9,"[['SrCO3', 'V2O5', 'Nb2O5', 'Bi2O3']]"
Sr0.8Bi2.2Ta2O9,"[['SrCO3', 'Ta2O5', 'Bi2O3'], ['SrCO3', 'Ta2O5', 'Bi2O3']]"
Sr0.8Ce0.2MnO3,"[['SrCO3', 'CeO2', 'MnO2']]"
Sr0.92NbO3,"[['Sr5Nb4O15', 'Nb']]"
Sr0.94Ti0.9Nb0.1O3,"[['SrCO3', 'Nb2O5', 'TiO2']]"
Sr0.95Ce0.05MnO3,"[['SrCO3', 'CeO2', 'MnO2']]"
Sr0.95Co0.8Fe0.2O3,"[['SrCO3', 'Co2O3', 'Fe2O3']]"
Sr0.95Fe0.5Co0.5O3,"[['SrCO3', 'Co3O4', 'Fe2O3']]"
Sr0.95Nb0.1Co0.9O3,"[['SrCO3', 'Nb2O5', 'Co2O3']]"
Sr0.95Ti0.8Nb0.1Mn0.1O3,"[['SrCO3', 'Nb2O5', 'MnO2', 'TiO2']]"
Sr0.95Ti0.9Nb0.1O3,"[['SrCO3', 'Nb2O5', 'TiO2']]"
Sr0.95Ti0.9Nb0.1O3.00,"[['SrCO3', 'Nb2O5', 'TiO2']]"
Sr0.97Ce0.9Yb0.1O3,"[['SrCO3', 'CeO2', 'Yb2O3']]"
Sr0.97Fe0.40Ti0.60O3,"[['SrCO3', 'FeC2O4', 'TiO2'], ['SrCO3', 'FeC2O4', 'TiO2']]"
Sr0.97Fe0.80Ti0.20O3,"[['SrCO3', 'FeC2O4', 'TiO2'], ['SrCO3', 'FeC2O4', 'TiO2']]"
Sr0.97Ti0.60Fe0.40O3,"[['SrCO3', 'FeC2O4', 'TiO2'], ['SrCO3', 'FeC2O4', 'TiO2']]"
Sr0.97Ti0.6Fe0.4O3,"[['TiO2', 'SrCO3', 'Fe2O3']]"
Sr0.98Pr0.02TiO3,"[['SrCO3', 'TiO2', 'Pr6O11']]"
Sr0.995Ce0.95Y0.05O3,"[['SrCO3', 'CeO2', 'Y2O3']]"
Sr0.997TiO2.997,"[['SrCO3', 'TiO2'], ['SrCO3', 'TiO2']]"
Sr0.999TiO2.999,"[['SrCO3', 'TiO2']]"
Sr0.99Ti0.8Nb0.2O3,"[['SrCO3', 'Nb2O5', 'TiO2'], ['SrCO3', 'Nb2O5', 'TiO2']]"
Sr0.9K0.1FeO3,"[['Sr(CH3COO)2', 'K2C2O4', 'Fe(CH3COO)2'], ['K2C2O4', 'Fe(NO3)9', 'Sr(CH3COO)2']]"
Sr0.9La0.1CuO2,"[['SrCO3', 'CuO', 'La2O3']]"
Sr0.9Ti0.6Fe0.4O3,"[['TiO2', 'SrCO3', 'Fe2O3']]"
Sr0.9Y0.1ZrO3,"[['SrCO3', 'Y2O3', 'ZrO2']]"
Sr1.01Ti0.98Nb0.02O3,"[['SrCO3', 'Nb2O5', 'TiO2']]"
Sr1.01TiO3.01,"[['SrCO3', 'TiO2']]"
Sr1.02TiO3.02,"[['SrCO3', 'TiO2'], ['SrCO3', 'TiO2']]"
Sr1.06Ba0.9SiO4,"[['SrCO3', 'SiO2', 'BaCO3']]"
Sr1.2Bi2.4Ta2.0O9,"[['SrCO3', 'Ta2O5', 'Bi2O3']]"
Sr1.2Nd0.8Mn0.6Rh0.4O4,"[['SrCO3', 'Nd2O3', 'Rh2O3', 'MnO2']]"
Sr1.5Bi7.5O12.75,"[['SrCO3', 'Bi2O3'], ['SrCO3', 'Bi2O3']]"
Sr1.5La0.5Cu0.5Ru0.5O4,"[['CuO', 'RuO2', 'La2O3', 'SrCO3']]"
Sr1.5La0.5Cu0.5Ti0.5O4,"[['SrCO3', 'CuO', 'TiO2', 'La2O3']]"
Sr1.85Ca0.15NaNb5O15,"[['CaCO3', 'SrNb2O6', 'Nb2O5', 'NaNbO3']]"
Sr1.8Mg0.2SiO4,"[['SrCO3', 'MgO', 'SiO2']]"
Sr1.90Eu0.10SiO4,"[['SrCO3', 'SiO2', 'Eu2O3']]"
Sr1.92Eu0.04Dy0.04Al2SiO7,"[['Dy2O3', 'SiO2', 'SrCO3', 'Al(OH)3', 'Eu2O3']]"
Sr1.96Eu0.04Al2SiO7,"[['SiO2', 'SrCO3', 'Al(OH)3', 'Eu2O3']]"
Sr1.98Eu0.02LiSiO4F,"[['SrCO3', 'SiO2', 'LiF', 'Eu2O3']]"
Sr1.9Ca0.1NaNb5O15,"[['SrCO3', 'Nb2O5', 'CaCO3', 'Na2CO3'], ['SrCO3', 'Nb2O5', 'CaCO3', 'Na2CO3']]"
Sr10Al6O19,"[['SrCO3', 'Al2O3']]"
Sr10Bi6O24,"[['Bi2O3', 'Sr(NO3)2']]"
Sr12Al10.6Si3.4O32Cl5.4,"[['Sr(NO3)2', 'SrCl2', 'SiO2', 'Al(NO3)3']]"
Sr14Cu24O41,"[['CuO', 'SrCO3'], ['CuO', 'SrCO3']]"
Sr2(Gd1.5Ce0.5)Cu2O,"[['CuO', 'CeO2', 'Gd2O3', 'Sr(CO3)2']]"
Sr2.46La0.54Fe2O7,"[['SrCO3', 'La2O3', 'Fe2O3']]"
Sr2.88LaCe0.06Na0.06(BO3)3,"[['SrCO3', 'La2O3', 'CeO2', 'Na2CO3', 'H3BO3'], ['SrCO3', 'La2O3', 'CeO2', 'Na2CO3', 'H3BO3']]"
Sr2.88YCe0.06Na0.06(BO3)3,"[['SrCO3', 'CeO2', 'Y2O3', 'Na2CO3', 'H3BO3'], ['SrCO3', 'CeO2', 'Y2O3', 'Na2CO3', 'H3BO3']]"
Sr2.975Ce0.025Al0.5Si0.5O4.5F0.5,"[['Al2O3', 'CeO2', 'SrF2', 'SrCO3', 'SiO2']]"
Sr2Al2SiO7,"[['SrCO3', 'Al2O3', 'SiO2']]"
Sr2AlSbO6,"[['SrCO3', 'Sb2O5', 'Al2O3'], ['SrCO3', 'Sb2O5', 'Al2O3']]"
Sr2Bi2O5,"[['SrCO3', 'Bi2O3'], ['SrCO3', 'Bi2O3']]"
Sr2Ca0.6Bi1.4O5.2,"[['SrCO3', 'CaCO3', 'Bi2O3']]"
Sr2Ca2Cu3O,"[['SrCO3', 'CuO', 'CaCO3']]"
Sr2CaMoO6,"[['SrCO3', 'CaCO3', 'MoO3']]"
Sr2Ce2Ti5O15,"[['SrCO3', 'TiO2', 'CeO2']]"
Sr2Ce2Ti5O16,"[['SrCO3', 'TiO2', 'CeO2']]"
Sr2CeNbO6,"[['SrCO3', 'Ce2(CO3)3', 'Nb2O5']]"
Sr2CeO4,"[['CeO2', 'SrCO3'], ['Sr(NO3)2', 'Ce(NO3)'], ['CeO2', 'SrCO3'], ['CeO2', 'SrCO3'], ['SrCO3', 'CeO2'], ['SrCO3', 'CeO2'], ['SrCO3', 'CeO2'], ['SrCO3', 'CeO2'], ['CeO2', 'SrCO3'], ['CeO2', 'SrCO3'], ['SrCO3', 'CeO2'], ['Ce(NO3)3', 'Sr(NO3)2'], ['SrCO3', 'CeO2'], ['CeO2', 'SrCO3'], ['SrCO3', 'CeO2'], ['SrCO3', 'CeO2']]"
Sr2CeSbO6,"[['SrCO3', 'Ce2(CO3)3', 'Sb2O5']]"
Sr2Co2O5,"[['Co3O4', 'SrCO3']]"
Sr2CoMoO6,"[['SrCO3', 'CoMoO4'], ['SrCO3', 'CoMoO4'], ['SrCO3', 'CoMoO4'], ['SrCO3', 'CoMoO4'], ['SrCO3', 'CoCO3', '(NH4)6Mo7O24']]"
Sr2CoO4,"[['SrCO3', 'Co3O4']]"
Sr2CoOsO6,"[['SrO2', 'OsO2', 'Co3O4']]"
Sr2CoRuO6,"[['SrCo3', 'RuO2', 'Co3O4']]"
Sr2CoSbO6,"[['SrCO3', 'Co(C5H7O2)3', 'Sb2O5'], ['SrCO3', 'Co(C5H7O2)3', 'Sb2O5']]"
Sr2CoTeO6,"[['SrCO3', 'CoCO3', 'Te(OH)6']]"
Sr2CoUO6,"[['SrCO3', 'UO2(CH3COO)2', 'CoCO3'], ['SrCO3', 'UO2(CH3COO)2', 'CoCO3']]"
Sr2CoWO6,"[['Co2O3', 'WO3', 'Sr(CO3)']]"
Sr2CrMoO6,"[['SrCO3', 'Cr2O3', 'MoO3']]"
Sr2CrNbO6,"[['SrCO3', 'Nb2O5', 'CrO2']]"
Sr2Cu(PO4)2,"[['SrCO3', 'CuO', 'NH4H2PO4'], ['SrCO3', 'CuO', 'NH4H2PO4'], ['SrCO3', 'CuO', '(NH4)2HPO4']]"
Sr2Cu(Re0.69Ca0.31)O,"[['CuO', 'ReO3', 'Ca2CuO3', 'SrO2']]"
Sr2CuFeO3S,"[['Cu', 'FeO', 'SrO2', 'S'], ['Cu', 'FeO', 'SrO2', 'S']]"
Sr2CuGaO5,"[['SrCO3', 'CuO', 'Ga2O3']]"
Sr2CuInO3S,"[['In2O3', 'SrS', 'SrO', 'Cu2O'], ['Cu2O', 'In2O3', 'SrO', 'SrS']]"
Sr2CuMoO6,"[['SrCO3', 'CuO', 'MoO3']]"
Sr2CuO2Cl2,"[['SrCO3', 'SrCl2', 'CuO'], ['SrCO3', 'SrCl2', 'CuO'], ['SrCO3', 'SrCl2', 'CuO'], ['SrCO3', 'CuO', 'SrCl2']]"
Sr2CuO3,"[['SrCO3', 'CuO'], ['SrCO3', 'CuO'], ['SrCO3', 'CuO'], ['SrCO3', 'CuO'], ['SrCO3', 'CuO']]"
Sr2CuWO6,"[['SrCO3', 'CuO', 'WO3'], ['SrCO3', 'CuO', 'WO3'], ['SrCO3', 'CuO', 'WO3'], ['SrCO3', 'CuO', 'WO3'], ['SrCO3', 'WO3', 'CuO']]"
Sr2DyRuO6,"[['SrCO3', 'Dy2O3', 'RuO2']]"
Sr2ErRuO6,"[['SrCO3', 'RuO2', 'Er2O3'], ['SrCO3', 'RuO2', 'Er2O3']]"
Sr2Eu8(SiO4)6O2,"[['SiO2', 'SrCO3', 'Eu2O3']]"
Sr2Fe1.5Mo0.5O6,"[['SrCO3', 'MoO3', 'Fe2O3']]"
Sr2Fe2O5,"[['SrCO3', 'Fe2O3'], ['SrCO3', 'Fe2O3'], ['SrCO3', 'Fe(NO3)3'], ['SrCO3', 'Fe2O3']]"
Sr2Fe3O,"[['SrCO3', 'Fe2O3']]"
Sr2FeMoO5.5S0.5,"[['SrCO3', 'FeS', '(NH4)6Mo7O24', 'Fe2O3']]"
Sr2FeMoO6,"[['SrO', 'MoO3', 'Fe2O3'], ['SrO', 'Fe2O3', 'MoO2'], ['SrO', 'MoO3', 'Fe2O3'], ['SrO', 'MoO2', 'Fe2O3'], ['SrCO3', 'MoO3', 'Fe2O3'], ['SrCO3', 'Fe2O3', 'MoO3'], ['SrCO3', 'MoO3', 'Fe2O3'], ['SrCO3', 'Fe2O3', 'MoO3'], ['SrCO3', 'MoO3', 'Fe2O3'], ['SrCO3', 'MoO3', 'Fe2O3'], ['SrO', 'MoO3', 'Fe2O3'], ['SrCO3', 'MoO3', 'Fe2O3'], ['SrCO3', 'MoO3', 'Fe2O3'], ['SrCO3', 'Fe2O3', 'MoO3'], ['SrCO3', 'MoO3', 'Fe2O3'], ['Fe(C2O4)', 'MoO3', 'SrCO3'], ['MoO3', 'SrCO3', 'Fe2O3']]"
Sr2FeNbO6,"[['SrCO3', 'Nb2O5', 'Fe2O3']]"
Sr2FeO4,"[['Sr(NO3)2', 'Fe2O3']]"
Sr2FeSbO6,"[['SrCO3', 'Sb2O3', 'Fe(NO3)3']]"
Sr2Gd8(SiO4)6O2,"[['SiO2', 'Gd2O3', 'SrCO3']]"
Sr2HoHfO5.5,"[['SrCO3', 'HfO2', 'Ho2O3']]"
Sr2HoTaO6,"[['SrCO3', 'Ta2O5', 'Ho2O3']]"
Sr2InReO6,"[['In2O3', 'SrO', 'Re2O7']]"
Sr2InTaO6,"[['SrCO3', 'Ta2O5', 'In2O3']]"
Sr2IrO4,"[['SrCO3', 'Ir'], ['SrCO3', 'IrO2']]"
Sr2LaSbO6,"[['SrCO3', 'La2O3', 'Sb2O5']]"
Sr2LuRuO6,"[['SrCO3', 'Lu2O3', 'Ru']]"
Sr2Mg(BO3)2,"[['SrCO3', 'MgCO3', 'H3BO3']]"
Sr2Mg(Mo0.8Nb0.2)O6,"[['SrCO3', 'MgO', 'Nb2O5', 'MoO3']]"
Sr2MgMoO6,"[['SrCO3', 'MgO', 'MoO3'], ['SrCO3', 'MgO', 'MoO3'], ['SrCO3', 'MgO', 'MoO3'], ['SrCO3', 'MgO', 'MoO3'], ['SrCO3', 'MgO', 'MoO3']]"
Sr2MgSi2O7,"[['SrCO3', 'MgO', 'SiO2'], ['SrCO3', 'SiO2', 'Mg(NO3)2'], ['SiO2', 'MgO', 'SrCO3']]"
Sr2MnGaO5,"[['Mn2O3', 'SrO', 'Ga2O3'], ['Mn2O3', 'SrO', 'Ga2O3']]"
Sr2MnMoO6,"[['SrCO3', 'MnO', 'MoO3']]"
Sr2MnNbO6,"[['SrCO3', 'Nb2O5', 'Mn2O3']]"
Sr2MnO3,"[['SrCO3', 'MnO2']]"
Sr2MnO4,"[['SrCO3', 'MnO2']]"
Sr2MnRuO6,"[['SrCO3', 'Mn2O3', 'RuO2']]"
Sr2MnSbO6,"[['SrCO3', 'Mn2O3', 'Sb2O3'], ['SrCO3', 'Sb2O3', 'MnO2']]"
Sr2MnWO6,"[['SrCO3', 'WO3', 'MnO'], ['SrCO3', 'WO3', 'MnO']]"
Sr2NaNb5O15,"[['SrCO3', 'Na2CO3', 'Nb2O5'], ['SrCO3', 'Nb2O5', 'Na2CO3'], ['SrNb2O6', 'NaNbO3'], ['SrNb2O6', 'NaNbO3']]"
Sr2Nb2O7,"[['SrCO3', 'Nb2O5'], ['SrCO3', 'Nb2O5'], ['SrCO3', 'Nb2O5'], ['SrCO3', 'Nb2O5'], ['SrCO3', 'Nb2O5']]"
Sr2Ni2Fe12O22,"[['SrCO3', 'NiO', 'Fe2O3']]"
Sr2NiMoO6,"[['SrCO3', 'NiO', 'MoO3']]"
Sr2PbO4,"[['SrCO3', 'PbO']]"
Sr2PdO3,"[['SrCO3', 'PdO']]"
Sr2PrO4,"[['SrCO3', 'Pr6O11']]"
Sr2RhO4,"[['Rh2O3', 'SrO']]"
Sr2RuO4,"[['SrCO3', 'RuO2'], ['SrCO3', 'RuO2'], ['SrCO3', 'RuO2'], ['SrO', 'RuO2'], ['SrO', 'RuO2'], ['SrCO3', 'RuO2']]"
Sr2RuTiO6,"[['SrCO3', 'TiO2', 'RuO2']]"
Sr2SbMnO6,"[['SrCO3', 'Sb2O3', 'MnO2']]"
Sr2ScMoO6,"[['SrCO3', 'Sc2O3', 'MoO3']]"
Sr2SiO4,"[['SrCO3', 'SiO2'], ['SiO2', 'SrCO3']]"
Sr2SmSbO6,"[['SrCO3', 'Sm2O3', 'Sb2O5']]"
Sr2SnO4,"[['SrCO3', 'SnO2']]"
Sr2Ta2O7,"[['SrCO3', 'Ta2O5']]"
Sr2Ti0.93Co0.07O4,"[['SrCO3', 'TiO2', 'Co3O4']]"
Sr2Ti0.93Fe0.07O4,"[['SrCO3', 'Fe2O3', 'TiO2']]"
Sr2Ti0.9Co0.1O4,"[['SrCO3', 'TiO2', 'CoO']]"
Sr2TiMnO6,"[['TiO2', 'SrO', 'MnO2']]"
Sr2TiO4,"[['TiO2', 'SrO'], ['SrCO3', 'TiO2'], ['SrCO3', 'TiO2']]"
Sr2TiSi2O8,"[['SrCO3', 'SiO2', 'TiO2']]"
Sr2YRuO6,"[['SrCO3', 'Y2O3', 'RuO2'], ['SrCO3', 'Y2O3', 'RuO2'], ['SrCO3', 'Ru', 'Y2O3'], ['SrCO3', 'Y2O3', 'RuO2']]"
Sr2YSbO6,"[['Sb2O3', 'SrO', 'Y2O3']]"
Sr2YTaO6,"[['SrCO3', 'Ta2O5', 'Y2O3']]"
Sr2ZnSi2O7,"[['SiO2', 'SrO', 'ZnO'], ['SrCO3', 'SiO2', 'ZnO']]"
Sr2ZnTeO6,"[['SrCO3', 'ZnO', 'TeO2']]"
Sr2ZrCeO6,"[['SrCO3', 'CeO2', 'ZrO2']]"
Sr2ZrMnO6,"[['ZrO2', 'MnO2', 'SrO']]"
Sr3(PO4)2,"[['SrCO3', 'NH4H2PO4'], ['SrCO3', 'NH4H2PO4'], ['SrCO3', 'NH4H2PO4']]"
Sr3(SrNb2)O9,"[['SrCO3', 'Nb2O5']]"
Sr3(VO4)2,"[['SrCO3', 'V2O5'], ['SrCO3', 'V2O5']]"
Sr3.5Y6.5O2(PO4)1.5(SiO4)4.5,"[['SrCO3', 'Y2O3', 'SiO2', '(NH4)2HPO4']]"
Sr3.6La0.4Fe5.6Ti0.4O13.4,"[['SrCO3', 'TiO2', 'La2O3', 'Fe2O3'], ['SrCO3', 'TiO2', 'La2O3', 'Fe2O3']]"
Sr3.6La0.4Fe6O13.2,"[['SrCO3', 'La2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3'], ['SrCO3', 'La2O3', 'Fe2O3']]"
Sr3.95Mn2CuO9,"[['SrCO3', 'CuO', 'MnO2']]"
Sr3Al2O6,"[['SrCO3', 'Al2O3'], ['SrCO3', 'Al2O3']]"
Sr3BeB6O13,"[['SrCO3', 'BeO', 'H3BO3']]"
Sr3Ca2.18Nb1.82O9,"[['SrCO3', 'Nb2O5', 'CaO']]"
Sr3CaZr0.5Ta1.5O8.75,"[['SrCO3', 'Ta2O5', 'ZrO2', 'CaCO3']]"
Sr3CaZr0.9Ta1.1O8.55,"[['SrCO3', 'Ta2O5', 'CaCO3', 'ZrO2']]"
Sr3Co2Fe24O41,"[['SrCO3', 'Co3O4', 'Fe2O3']]"
Sr3Co2O,"[['SrCO3', 'Co3O4']]"
Sr3CoPtO6,"[['SrCO3', 'CoO', 'PtO2']]"
Sr3Cr2O8,"[['Cr2O3', 'Sr3CO3']]"
Sr3Fe1.9Mo0.1O7,"[['SrCO3', '(NH4)2MoO4', 'Fe2O3']]"
Sr3Fe2O5,[['Sr3Fe2O7']]
Sr3Fe2O6,"[['SrCO3', 'Fe(NO3)3'], ['SrCO3', 'Fe2O3']]"
Sr3Fe2O7,"[['Fe(NO3)3', 'Sr(NO3)2'], ['SrCO3', 'Fe2O3'], ['SrCO3', 'Fe2O3']]"
Sr3Fe2TeO9,"[['SrCO3', 'H2TeO4', 'Fe2O3']]"
Sr3Fe2UO9,"[['SrCO3', 'UO2(CH3COO)2', 'Fe2O3']]"
Sr3FeMoO7,"[['SrCO3', 'MoO3', 'Fe2O3'], ['SrCO3', 'MoO3', 'Fe2O3']]"
Sr3FeTaO7,"[['SrCO3', 'Ta2O5', 'Fe2O3']]"
Sr3Ga2Ge4O14,"[['SrCO3', 'GeO2', 'Ga2O3']]"
Sr3Ga2O6,"[['SrCO3', 'Ga2O3'], ['SrCO3', 'Ga2O3']]"
Sr3HoCrO6,"[['Cr2O3', 'SrO', 'Ho2O3']]"
Sr3In(PO4)3,"[['SrCO3', 'In2O3', 'NH4H2PO4']]"
Sr3Ir2O7,"[['SrCO3', 'IrO2'], ['SrCO3', 'Ir']]"
Sr3La(PO4)3,"[['SrCO3', 'La2O3', 'NH4H2PO4'], ['SrCO3', 'La2O3', 'NH4H2PO4']]"
Sr3La0.99Tb0.01(PO4)3,"[['SrCO3', 'La2O3', 'Tb4O7', 'NH4H2PO4'], ['SrCO3', 'La2O3', 'Tb4O7', 'NH4H2PO4'], ['SrCO3', 'La2O3', 'Tb4O7', 'NH4H2PO4'], ['SrCO3', 'La2O3', 'Tb4O7', 'NH4H2PO4']]"
Sr3LaNb3O12,"[['Nb2O5', 'La2O3', 'SrCO3']]"
Sr3LiNb3Ti5O21,"[['SrCO3', 'Li2CO3', 'Nb2O5', 'TiO2']]"
Sr3LiTa3Ti5O21,"[['SrCO3', 'Ta2O5', 'Li2CO3', 'TiO2']]"
Sr3Mn2O6,"[['SrCO3', 'Mn2O3'], ['SrCO3', 'Mn2O3']]"
Sr3NbGa3Si2O14,"[['SrCO3', 'Nb2O5', 'SiO2', 'Ga2O3']]"
Sr3NdFe3O10,"[['Nd2O3', 'SrO2', 'Fe2O3']]"
Sr3NdFe3O9,"[['Nd2O3', 'SrO2', 'Fe2O3']]"
Sr3NiIrO6,"[['SrCO3', 'NiO', 'Ir']]"
Sr3NiPtO6,"[['SrCO3', 'NiO', 'PtO2']]"
Sr3Ru2O7,"[['SrO', 'RuO2'], ['SrO', 'RuO2']]"
Sr3Si6O3N8,"[['SrCO3', 'Si3N4'], ['SrCO3', 'Si3N4']]"
Sr3SiO5,"[['SrCO3', 'SiO2']]"
Sr3Sm(PO4)3,"[['SrCO3', 'Sm2O3', '(NH4)2HPO4']]"
Sr3Tb(BO3)3,"[['SrCO3', 'Tb4O7', 'H3BO3']]"
Sr3Tb(PO4)3,"[['SrCO3', 'Tb4O7', 'NH4H2PO4'], ['SrCO3', 'Tb4O7', 'NH4H2PO4'], ['SrCO3', 'Tb4O7', 'NH4H2PO4'], ['SrCO3', 'Tb4O7', 'NH4H2PO4']]"
